$ ./asha-support 60_C0_BF_2F_6E_A0
loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 26517243972227 | Wrote 161 bytes
sleep(19876 μs) |    234 | 26521924100493 | Wrote 161 bytes
sleep(19844 μs) |    235 | 26521944115799 | Wrote 161 bytes
sleep(19823 μs) |    236 | 26521964120892 | Wrote 161 bytes
sleep(19816 μs) |    237 | 26521984120565 | Wrote 161 bytes
sleep(19818 μs) |    238 | 26522004065359 | Wrote 161 bytes
sleep(19867 μs) |    239 | 26522024096500 | Wrote 161 bytes
sleep(19828 μs) |    240 | 26522044122433 | Wrote 161 bytes
sleep(19812 μs) |    241 | 26522064114555 | Wrote 161 bytes
sleep(19821 μs) |    242 | 26522084116575 | Wrote 161 bytes
sleep(19821 μs) |    243 | 26522104058170 | Wrote 161 bytes
sleep(19881 μs) |    244 | 26522124116777 | Wrote 161 bytes
sleep(19817 μs) |    245 | 26522144111747 | Wrote 161 bytes
sleep(19827 μs) |    246 | 26522164111025 | Wrote 161 bytes
sleep(19828 μs) |    247 | 26522184062238 | Wrote 161 bytes
sleep(19869 μs) |    248 | 26522204132482 | Wrote 161 bytes
sleep(19803 μs) |    249 | 26522224117016 | Wrote 161 bytes
sleep(19820 μs) |    250 | 26522244130768 | Wrote 161 bytes
sleep(19806 μs) |    251 | 26522264058946 | Wrote 161 bytes
sleep(19874 μs) |    252 | 26522284115587 | Wrote 161 bytes
sleep(19823 μs) |    253 | 26522304125525 | Wrote 161 bytes
sleep(19810 μs) |    254 | 26522324123921 | Wrote 161 bytes
sleep(19814 μs) |    255 | 26522344129166 | Wrote 161 bytes
sleep(19806 μs) |    256 | 26522364117522 | Wrote 161 bytes
sleep(19817 μs) |    257 | 26522384097706 | Wrote 161 bytes
sleep(19841 μs) |    258 | 26522404125525 | Wrote 161 bytes
sleep(19820 μs) |    259 | 26522424077024 | Wrote 161 bytes
sleep(19853 μs) |    260 | 26522444117604 | Wrote 161 bytes
sleep(19823 μs) |    261 | 26522464086610 | Wrote 161 bytes
sleep(19852 μs) |    262 | 26522484131794 | Wrote 161 bytes
sleep(19804 μs) |    263 | 26522504106725 | Wrote 161 bytes
sleep(19826 μs) |    264 | 26522524130039 | Wrote 161 bytes
sleep(19800 μs) |    265 | 26522544111893 | Wrote 161 bytes
sleep(19828 μs) |    266 | 26522564111890 | Wrote 161 bytes
sleep(19828 μs) |    267 | 26522584095474 | Wrote 161 bytes
sleep(19840 μs) |    268 | 26522604112806 | Wrote 161 bytes
sleep(19825 μs) |    269 | 26522624097836 | Wrote 161 bytes
sleep(19840 μs) |    270 | 26522644124810 | Wrote 161 bytes
sleep(19815 μs) |    271 | 26522664094316 | Wrote 161 bytes
sleep(19840 μs) |    272 | 26522684063944 | Wrote 161 bytes
sleep(19876 μs) |    273 | 26522704115993 | Wrote 161 bytes
sleep(19808 μs) |    274 | 26522724062113 | Wrote 161 bytes
sleep(19873 μs) |    275 | 26522744119631 | Wrote 161 bytes
sleep(19812 μs) |    276 | 26522764122910 | Wrote 161 bytes
sleep(19814 μs) |    277 | 26522784112672 | Wrote 161 bytes
sleep(19826 μs) |    278 | 26522804115956 | Wrote 161 bytes
sleep(19821 μs) |    279 | 26522824053852 | Wrote 161 bytes
sleep(19873 μs) |    280 | 26522844111105 | Wrote 161 bytes
sleep(19828 μs) |    281 | 26522864109975 | Wrote 161 bytes
sleep(19827 μs) |    282 | 26522884111310 | Wrote 161 bytes
sleep(19824 μs) |    283 | 26522904080652 | Wrote 161 bytes
